,prod_name,prod_price,prod_sold,prod_rating,prod_stock
61,Duha Muslimwear - Sayf Robe,Rp 319.000,Terjual 15,5.0,Stok Habis
62,Duha Muslimwear - Umair Robe,Rp 319.000,Terjual 15,5.0,Stok Habis
63,Duha Muslimwear - Zarar Robe Navy Khaki,Rp 179.000,Terjual 32,4.8,Stok Habis
64,Duha Muslimwear - Zarar Robe Olive Navy,Rp 179.000,Terjual 19,5.0,Stok Habis
65,Duha Muslimwear - Galal Robe,Rp 379.000,Terjual 15,4.8,Stok Habis
66,Duha Muslimwear - Gulshan Robe,Rp 379.000,Terjual 16,4.8,Stok Habis
67,Duha Muslimwear - Kateeb Shirt Short Sleeve,Rp 192.993,Terjual 13,4.8,Stok Habis
68,Duha Muslimwear - Sayf Khaki Shirt Short Sleeve,Rp 192.993,Terjual 9,5.0,Stok Habis
69,Duha Muslimwear - Sayf Navy Shirt Short Sleeve,Rp 183.400,Terjual 16,4.9,Stok Habis
70,Duha Muslimwear - Mahd Shirt Short Sleeve,Rp 187.245,Terjual 23,4.9,Stok Habis
71,Duha Muslimwear - Kateeb Shirt Long Sleeve,Rp 389.000,Terjual 28,4.7,Stok Habis
72,Duha Muslimwear - Ghaazi Shirt Long Sleeve,Rp 177.900,Terjual 16,4.8,Stok Habis
73,Duha Muslimwear - Zaheer Shirt Long Sleeve,Rp 187.245,Terjual 28,5.0,Stok Habis
74,Blazer Motif Duha Muslimwear - Nabeel Blazer Stripes Black,Rp 389.000,Terjual 6,5.0,Stok Habis
75,Baju Koko Motif Duha Muslimwear - Alfath Squared Shirt Black,Rp 329.000,Terjual 26,4.6,Stok Habis
76,Baju Koko Duha Muslimwear - Zeeshan Shirt Black,Rp 249.000,Terjual 24,4.9,Stok Habis
77,Blazer Motif Duha Muslimwear - Nabeel Blazer Stripes Khaki,Rp 389.000,Terjual 1,5.0,Stok Habis
78,Blazer Motif Duha Muslimwear - Nabeel Blazer Stripes Brown,Rp 389.000,Terjual 2,5.0,Stok Habis
79,Blazer Motif Duha Muslimwear - Nabeel Blazer Stripes Olive,Rp 389.000,Terjual 8,5.0,Stok Habis
