,prod_name,prod_price,prod_sold,prod_stock
70,Baju Koko Duha Muslimwear - Zeeshan Shirt Black,249.000,33 Terjual,habis
71,Dress Muslimah Panjang Motif - Shaheen Warda,449.000,28 Terjual,habis
72,Blouse Atasan Muslim Linen - Qadira Shirt,379.000,26 Terjual,habis
73,Duha Muslimwear - Raheel Navy Jacket,349.000,12 Terjual,habis
74,Duha Muslimwear - Zaheer Shirt Long Sleeve,349.000,39 Terjual,habis
75,Duha Muslimwear  - Baju Koko - Kamran Stand Collar Shirt Navy,249.000,36 Terjual,habis
76,Duha Muslimwear  - Baju Koko - Kahlel Long Sleeve Linen Shirt Olive,229.000,50 Terjual,habis
77,Duha Muslimwear  - Kimono - Aalee Robe Brown,319.000,31 Terjual,habis
78,Baju Koko Motif Duha Muslimwear - Alfath Squared Shirt Khaki,329.000,33 Terjual,habis
79,Duha Muslimwear - Ijlal Shirt Short Sleeve,389.000,31 Terjual,habis
